,Título da Notícia,Tema,URL
0,"
Peixe com braço humano foi encontrado em Arapiraca, no Lago “Pirucaba” #boato
",brasil,www.boatos.org/brasil/peixe-braco-humano-arapiraca.html
1,"
Globo News se arrependeu de convidar general Heleno para debate #boato
",brasil,www.boatos.org/brasil/globo-news-arrependeu-general-heleno.html
2,"
Pabllo Vittar cai tombo durante show e “paga mico”, mostra vídeo #boato
",entretenimento,www.boatos.org/entretenimento/pabllo-vittar-tombo-show.html
3,"
Crivella diz que Rio foi castigado com dilúvio por causa do carnaval #boato
",politica,www.boatos.org/politica/crivella-rio-castigado-carnaval.html
4,"
Museu do Holocausto tem placa com sinais do fascismo pendurada na porta #boato
",mundo,www.boatos.org/mundo/museu-holocausto-placa-fascismo.html
5,"
Globo Rural disponibiliza mudas de rosas do deserto grátis em site #boato
",tecnologia,www.boatos.org/tecnologia/globo-rural-rosas-deserto-gratis.html
6,"
7 boatos que surgiram na web após o anúncio da intervenção federal no Rio
",brasil,www.boatos.org/brasil/anuncio-intervencao-federal-rio.html
7,"
Renato Aragão, o Didi, morreu hoje de manhã #boato
",entretenimento,www.boatos.org/entretenimento/renato-aragao-didi-morreu-hoje.html
8,"
Balas Popping Candy distribuídas em escolas são comprimidos de ecstasy #boato
",saude,www.boatos.org/saude/balas-popping-candy-ecstasy.html
9,"
Maria do Rosário diz que traficantes precisam de diálogo e não do Exército com armas #boato
",politica,www.boatos.org/politica/maria-do-rosario-traficantes-dialogo.html
10,"
Policial vive dia de Chuck Norris e mata 10 suspeitos em São Paulo #boato
",brasil,www.boatos.org/brasil/policial-chuck-norris-mata-10.html
11,"
Vigas da Perimetral foram encontradas no sítio da família Picciani em Conservatória #boato
",politica,www.boatos.org/politica/vigas-perimetral-sitio-picciani.html
12,"
Lista dos generais do Exército que vão assumir batalhões da PM é divulgada #boato
",brasil,www.boatos.org/brasil/comandantes-batalhoes-pm-generais.html
13,"
Detalhes da intervenção no Rio (Plano de Ação Redentor) vazaram na web #boato
",brasil,www.boatos.org/brasil/intervencao-rio-plano-acao-redentor.html
14,"
Sylvester Stallone morreu nesta madrugada de câncer de próstata #boato
",entretenimento,www.boatos.org/entretenimento/sylvester-stallone-morreu-cancer.html
15,"
Vídeo mostra tanques do Exército na Via Dutra para Intervenção Militar no Rio #boato
",brasil,www.boatos.org/brasil/tanques-guerra-via-dutra.html
16,"
Diabo aparece em janela da igreja durante culto, mostra vídeo #boato
",religiao,www.boatos.org/religiao/diabo-janela-igreja-video.html
17,"
Boletim interno SPOEX do Exército proíbe pessoas nas ruas depois das 22:00 #boato
",brasil,www.boatos.org/brasil/boletim-interno-exercito-pessoas-ruas.html
18,"
Sérgio Moro participa de evento do PSDB, DEM e Globo, mostra foto #boato
",politica,www.boatos.org/politica/sergio-moro-evento-psdb-dem.html
19,"
Geddel está com câncer e denuncia fazendas de Lula e Dilma em vídeo #boato
",politica,www.boatos.org/politica/geddel-cancer-fazendas-lula-dilma.html
20,"
Ministério do Exército divulga Plano Estadual de Intervenção Militar no Rio #boato
",brasil,www.boatos.org/brasil/ministerio-exercito-plano-intervencao-rio.html
21,"
O Boticário dá amostra grátis do Nativa SPA para quem compartilhar link #boato
",tecnologia,www.boatos.org/tecnologia/o-boticario-amostra-nativa-spa.html
22,"
APP Taxi.rio foi criado para Universal cobrar dízimo de taxistas #boato
",brasil,www.boatos.org/brasil/taxi-rio-universal-dizimo.html
23,"
General Gramoza faz discurso maravilhoso sobre intervenção militar #boato
",politica,www.boatos.org/politica/general-gramoza-discurso-intervencao.html
24,"
Eduardo, filho de Jair Bolsonaro, é flagrado marcando a presença de colegas na Câmara #boato
",politica,www.boatos.org/politica/eduardo-filho-bolsonaro-presenca.html
25,"
Foto mostra atirador da Flórida usando camiseta comunista #boato
",mundo,www.boatos.org/mundo/foto-atirador-florida-comunista.html
26,"
Traficante Lambari, do Jacarezinho, vai expulsar bandidos do Chapadão #boato
",brasil,www.boatos.org/brasil/traficante-lambari-jacarezinho-expulsar.html
27,"
Lula vai pagar R$ 50 milhões de honorários para Sepúlveda Pertence #boato
",politica,www.boatos.org/politica/lula-honorarios-sepulveda-pertence.html
28,"
Nova droga Strawberry Quick está sendo distribuída em escolas #boato
",brasil,www.boatos.org/brasil/droga-strawberry-quick-escolas.html
