,Título da Notícia,URL
0, Lava Jato se prepara para deixar José Dirceu “sem teto”,https://www.newsatual.com/lava-jato-se-prepara-para-deixar-jose-dirceu-sem-teto/
1, Globo ataca cantor Gusttavo Lima por apoiar Bolsonaro e criticar estatuto do desarmamento,https://www.newsatual.com/globo-ataca-cantor-gusttavo-lima-por-apoiar-bolsonaro-e-criticar-estatuto-do-desarmamento/
2, URGENTE: Polícia Federal na casa de Jaques Wagner,https://www.newsatual.com/urgentepolicia-federal-jaques-wagner/
3, Dinheiro Da Corrupção Recuperado Pela Lava Jato Vai Reformar Escolas,https://www.newsatual.com/dinheiro-da-corrupcao-recuperado-pela-lava-jato-vai-reformar-escolas/
4, Laudo da Polícia Federal destrói tese de defesa de Lula,https://www.newsatual.com/laudo-da-policia-federal-destroi-tese-de-defesa-de-lula/
5, Tropa de Elite do Exército já atua em intervenção no Rio,https://www.newsatual.com/tropa-de-elite-do-exercito-ja-atua-em-intervencao-no-rio/
6, Policiais federais querem montar ‘bancada da Lava-Jato’ no Congresso,https://www.newsatual.com/policiais-federais-querem-montar-bancada-da-lava-jato-no-congresso/
7, Cármen Lúcia se revolta com Fachin e avisa para ele ‘ficar’ com Lula,https://www.newsatual.com/carmen-lucia-se-revolta-com-fachin-e-avisa-para-ele-ficar-com-lula/
8, Lula ofende Dallagnol e chama o Judiciário de “quadrilha” na festa de aniversário do PT (Veja o Vídeo),https://www.newsatual.com/lula-ofende-dallagnol-e-chama-o-judiciario-de-quadrilha-na-festa-de-aniversario-do-pt-veja-o-video/
9," Na “parceria” com Adriana, Zanin ficava com a maior fatia",https://www.newsatual.com/na-parceria-com-adriana-zanin-ficava-com-maior-fatia/
10, Presidente do TRF-4 quer que Lula comece a cumprir a pena imediatamente (Veja o Vídeo),https://www.newsatual.com/presidente-do-trf-4-quer-que-lula-comece-cumprir-pena-imediatamente/
11, O segredo de Cármen Lúcia está nos generais; promessa a Moro se mantém firme,https://www.newsatual.com/o-segredo-de-carmen-lucia-esta-nos-generais-promessa-moro-se-mantem-firme/
12, Decano do STF tenta favorecer Lula e pressiona Cármen Lúcia,https://www.newsatual.com/decano-do-stf-tenta-favorecer-lula-e-pressiona-carmen-lucia/
13, Fuga de advogado revolta Moro e juiz pede esclarecimentos para a defesa de Lula,https://www.newsatual.com/fuga-de-advogado-revolta-moro-e-juiz-pede-esclarecimentos-para-defesa-de-lula/
14, Renan Calheiros Já Tenta Articular Sua Volta Ao Cargo De Presidente Do Senado No Próximo Ano.,https://www.newsatual.com/renan-calheiros-ja-tenta-articular-sua-volta-ao-cargo-de-presidente-do-senado-no-proximo-ano/
15," Presidente do Supremo, Cármen Lúcia, toma decisão e preocupa juízes federais",https://www.newsatual.com/presidente-do-supremo-carmen-lucia-toma-decisao-e-preocupa-juizes-federais/
